4,Arizona,47-2171,Reinforcing Iron and Rebar Workers,**,**,**,29.13,60590,4.3,25.87,27.04,28.99,31.14,33.06
,,,,,,,,,,,,,,
4,Arizona,47-2181,Roofers,2710,17.4,1.77,18.77,39050,7.2,10.51,12.79,17.49,22.18,26.44
,,,,,,,,,,,,,,
4,Arizona,47-3012,Helpers--Carpenters,820,23.9,0.53,16.44,34190,3.1,12.51,13.87,16.17,18.47,21.48
,,,,,,,,,,,,,,
4,Arizona,47-3013,Helpers--Electricians,1450,24.6,0.95,14.79,30760,2.6,11.71,12.83,14.74,16.98,18.4
,,,,,,,,,,,,,,
4,Arizona,47-3016,Helpers--Roofers,**,**,**,14.75,30680,6,10.94,11.76,13.71,16.45,18.77
,,,,,,,,,,,,,,
4,Arizona,47-3019,"Helpers, Construction Trades, All Other",510,22.6,0.33,15.51,32260,5.1,10.51,11.24,15.26,18.99,22.06
,,,,,,,,,,,,,,
4,Arizona,47-4031,Fence Erectors,510,45.4,0.33,17.19,35750,4.1,11.34,14.8,17.38,20.34,22.76
,,,,,,,,,,,,,,
5,Arkansas,47-2021,Brickmasons and Blockmasons,440,16.6,0.85,21.64,45010,3.4,14.73,18.11,21.51,24.46,29.19
,,,,,,,,,,,,,,
5,Arkansas,47-2031,Carpenters,3550,7.4,6.95,17.42,36240,2.6,9.78,13.22,16.82,20.45,24.64
,,,,,,,,,,,,,,
5,Arkansas,47-2041,Carpet Installers,60,36.5,0.12,18.64,38780,12.5,10.89,12.27,17.41,25.88,28.77
,,,,,,,,,,,,,,
5,Arkansas,47-2081,Drywall and Ceiling Tile Installers,330,25.2,0.64,19.13,39780,6.5,13.1,14.45,17.39,21.72,25.22
,,,,,,,,,,,,,,
5,Arkansas,47-2111,Electricians,4340,8,8.5,20.03,41660,2,12.09,15.28,19.7,24.48,28.84
,,,,,,,,,,,,,,
5,Arkansas,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",300,19.8,0.58,18.57,38630,7.1,10.32,13.04,18.03,22.14,30.06
,,,,,,,,,,,,,,
5,Arkansas,47-2141,"Painters, Construction and Maintenance",980,7.6,1.92,16.8,34950,3.3,11.92,13.69,16.57,19.33,22.88
,,,,,,,,,,,,,,
5,Arkansas,47-2161,Plasterers and Stucco Masons,70,49.6,0.14,16.53,34390,3.2,13.34,14.54,16.35,18.44,19.89
,,,,,,,,,,,,,,
5,Arkansas,47-2171,Reinforcing Iron and Rebar Workers,130,42.2,0.25,21.31,44330,4.8,15.94,17.36,19.87,24.04,29.7
,,,,,,,,,,,,,,
5,Arkansas,47-2181,Roofers,710,10.7,1.39,15.52,32270,3.9,9.36,11.87,14.76,18.41,22.99
,,,,,,,,,,,,,,
5,Arkansas,47-3012,Helpers--Carpenters,260,22.9,0.51,15.15,31510,5.3,10.19,12.09,14.11,17.08,23.47
,,,,,,,,,,,,,,
5,Arkansas,47-3013,Helpers--Electricians,**,**,**,11.11,23100,6.9,8.88,9.11,9.51,12.79,15.06
,,,,,,,,,,,,,,
5,Arkansas,47-3016,Helpers--Roofers,50,40.7,0.1,13.8,28710,3.2,12.54,13.09,13.97,14.85,15.38
,,,,,,,,,,,,,,
5,Arkansas,47-3019,"Helpers, Construction Trades, All Other",210,23.5,0.4,13.2,27450,3.6,9.17,10.69,13.27,15,17.7
,,,,,,,,,,,,,,
5,Arkansas,47-4031,Fence Erectors,290,27.6,0.56,13.09,27220,3.3,10.14,11.24,12.95,14.68,16.86
,,,,,,,,,,,,,,
6,California,47-2021,Brickmasons and Blockmasons,3150,12.4,0.37,28.67,59620,3.8,16.42,20.52,27.3,35.36,42.21
,,,,,,,,,,,,,,
6,California,47-2031,Carpenters,91790,2.6,10.89,28.7,59690,1,16.06,20.47,27.21,35.44,45.63
,,,,,,,,,,,,,,
6,California,47-2041,Carpet Installers,4170,14,0.49,22.19,46150,5.4,10.57,13.89,19.47,29.23,37.3
,,,,,,,,,,,,,,
6,California,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",2220,24.4,0.26,25.45,52930,11.5,11.83,14.89,25.02,30.06,41.3
,,,,,,,,,,,,,,
6,California,47-2081,Drywall and Ceiling Tile Installers,28950,4.8,3.44,29.78,61940,2.3,15.94,19.79,26.84,38.99,48.09
,,,,,,,,,,,,,,
6,California,47-2111,Electricians,54190,3.3,6.43,32.8,68230,2.1,16.7,22.48,30.05,41.07,53.96
,,,,,,,,,,,,,,
6,California,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",1760,19,0.21,26.4,54920,5.1,14.23,17.28,22.41,34.39,45.67
,,,,,,,,,,,,,,
6,California,47-2141,"Painters, Construction and Maintenance",32330,3.7,3.84,23.09,48020,2,13.53,16.8,22.19,28.24,33.97
,,,,,,,,,,,,,,
6,California,47-2161,Plasterers and Stucco Masons,8030,10.4,0.95,25.11,52220,2.1,15.14,18.78,23.66,29.94,37.88
,,,,,,,,,,,,,,
6,California,47-2171,Reinforcing Iron and Rebar Workers,2240,13.2,0.27,21.85,45450,3.4,15.71,17.35,20.59,25.28,30.63
,,,,,,,,,,,,,,
6,California,47-2181,Roofers,18260,4.5,2.17,24.33,50600,1.8,15.8,19.32,23.78,28.85,34.7
,,,,,,,,,,,,,,
6,California,47-3012,Helpers--Carpenters,2490,11.4,0.3,17.44,36280,2.1,12.33,14.34,16.79,19.28,24.66
,,,,,,,,,,,,,,
6,California,47-3013,Helpers--Electricians,3770,15,0.45,18.01,37460,3.5,12.09,14.49,17.32,20.9,25.24
,,,,,,,,,,,,,,
6,California,47-3016,Helpers--Roofers,930,29.9,0.11,19.24,40030,6.9,13.68,15.69,17.8,22.15,28.93
,,,,,,,,,,,,,,
6,California,47-3019,"Helpers, Construction Trades, All Other",1990,13.6,0.24,16.02,33330,3.2,11.32,12.56,14.86,18.01,21.85
,,,,,,,,,,,,,,
6,California,47-4031,Fence Erectors,2840,14.8,0.34,20.56,42760,4.4,12.81,15.6,18.34,25.22,31.49
,,,,,,,,,,,,,,
8,Colorado,47-2021,Brickmasons and Blockmasons,1350,23,0.79,25.97,54020,3.5,19.37,23.24,26.73,29.35,31.14
,,,,,,,,,,,,,,
8,Colorado,47-2031,Carpenters,11980,5.7,7.05,23.33,48530,1.7,14.04,17.99,23.57,28.32,31.47
,,,,,,,,,,,,,,
8,Colorado,47-2041,Carpet Installers,300,45,0.18,21.13,43950,7.3,13.46,18.14,22.02,24.51,27.93
,,,,,,,,,,,,,,
8,Colorado,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",170,39.7,0.1,18.58,38650,6.7,12.38,13.72,16.52,21.35,28.33
,,,,,,,,,,,,,,
8,Colorado,47-2081,Drywall and Ceiling Tile Installers,2860,14.4,1.68,22.46,46710,2,15.56,18.97,22.4,25.83,29.75
,,,,,,,,,,,,,,
8,Colorado,47-2111,Electricians,12540,5.1,7.38,25.82,53700,1.7,15.85,19.5,25.62,31.34,37.24
,,,,,,,,,,,,,,
8,Colorado,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",940,25,0.56,17.36,36110,2.9,12.42,14.76,17.13,19.25,23.11
,,,,,,,,,,,,,,
8,Colorado,47-2141,"Painters, Construction and Maintenance",4040,10.6,2.38,19.93,41450,2.3,15.29,16.8,19.21,22.8,26.24
,,,,,,,,,,,,,,
8,Colorado,47-2161,Plasterers and Stucco Masons,**,**,**,17.34,36070,4.8,11.67,15.92,17.57,19.21,21
,,,,,,,,,,,,,,
8,Colorado,47-2171,Reinforcing Iron and Rebar Workers,560,30.3,0.33,22.5,46800,4.2,16.54,19,22.08,26.14,29.45
,,,,,,,,,,,,,,
8,Colorado,47-2181,Roofers,3470,10.5,2.04,20.24,42100,2.4,13.85,16.13,19.56,24.11,28.35
,,,,,,,,,,,,,,
8,Colorado,47-3012,Helpers--Carpenters,390,27.2,0.23,16.74,34820,2.7,13.44,15.31,16.86,18.45,19.6
,,,,,,,,,,,,,,
8,Colorado,47-3013,Helpers--Electricians,610,10.3,0.36,17.77,36950,5.3,11.75,14.12,17.68,21.48,24.02
,,,,,,,,,,,,,,
8,Colorado,47-3016,Helpers--Roofers,110,14.7,0.06,14.3,29750,5.8,10.92,11.93,14.28,16.67,18.17
,,,,,,,,,,,,,,
8,Colorado,47-3019,"Helpers, Construction Trades, All Other",210,33.8,0.13,17.87,37170,10.4,12.6,13.72,15.86,22.01,25.81
,,,,,,,,,,,,,,
8,Colorado,47-4031,Fence Erectors,460,30.5,0.27,17.01,35390,3.7,12.81,14.02,16.25,18.89,22.59
,,,,,,,,,,,,,,
9,Connecticut,47-2021,Brickmasons and Blockmasons,640,11.6,1.07,28.36,58990,8,17.02,20.98,25.22,31.9,47.95
,,,,,,,,,,,,,,
9,Connecticut,47-2031,Carpenters,3770,7.4,6.32,27.97,58170,2.2,18.39,21.83,26.92,32.43,38.14
,,,,,,,,,,,,,,
9,Connecticut,47-2041,Carpet Installers,**,**,**,18.78,39070,9.1,13.23,14.97,18.77,22.3,24.15
,,,,,,,,,,,,,,
9,Connecticut,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",70,43,0.13,19.74,41050,4.9,13.04,15.42,19.64,23.34,28
,,,,,,,,,,,,,,
9,Connecticut,47-2081,Drywall and Ceiling Tile Installers,570,21.1,0.96,26.36,54830,5.7,13.55,18.02,25.74,34.39,38.64
,,,,,,,,,,,,,,
9,Connecticut,47-2111,Electricians,5640,6.3,9.44,27.71,57630,2.7,14.87,20.38,27.68,33.21,40.58
,,,,,,,,,,,,,,
9,Connecticut,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",260,25.7,0.44,21.87,45480,4.6,12.72,15.28,18.29,25.03,29.57
,,,,,,,,,,,,,,
9,Connecticut,47-2141,"Painters, Construction and Maintenance",1510,9.9,2.53,22.03,45820,5.8,14.53,17.45,21.19,25.33,31.83
,,,,,,,,,,,,,,
9,Connecticut,47-2171,Reinforcing Iron and Rebar Workers,**,**,**,31.44,65390,7.5,17.89,29.58,33.71,36.65,38.41
,,,,,,,,,,,,,,
9,Connecticut,47-2181,Roofers,710,16.1,1.19,26.97,56090,5.4,15.45,20.03,26.42,33.99,38.92
,,,,,,,,,,,,,,
